epoch,acc,loss,val_acc,val_loss
0,0.5705,1.1229365837574006,0.519,0.972409420967102
1,0.6745,0.7529761877059936,0.697,0.7151183323860169
2,0.723375,0.6307962018847465,0.716,0.6345763821601867
3,0.718375,0.6197509527802467,0.729,0.6236498749256134
4,0.746,0.5575263472795486,0.7435,0.5520822598934173
5,0.747875,0.5545107149481774,0.6925,0.6464613485336304
6,0.741,0.551372548520565,0.73,0.5802439876794815
7,0.758375,0.5250692437887192,0.7415,0.5649116094112396
