epoch,acc,loss,val_acc,val_loss
0,0.607125,0.7451096074581146,0.663,0.6034367499351502
1,0.688125,0.5853526343107224,0.715,0.5499874515533447
2,0.739125,0.525965009689331,0.7095,0.5367301378250122
3,0.76475,0.4822285226583481,0.7595,0.513534077167511
4,0.78925,0.441556229352951,0.7725,0.47217680835723874
5,0.81675,0.3955773313045502,0.784,0.4879423518180847
6,0.84125,0.35244087344408037,0.7745,0.4745389747619629
7,0.853375,0.322197394490242,0.7845,0.498220671415329
